"Create Account","Account erstellen"
"Services Agreement","Dienstleistungsvereinbarung"
"Connected Account Agreement","Vereinbarung über ein verbundenes Konto"
"certify that the information you have provided is complete and correct","bestätigen, dass die von Ihnen gemachten Angaben vollständig und richtig sind"
"By creating account, you agree to our %1, %2, and %3","Wenn Sie einen Account erstellen, stimmen Sie mit %1, %2, und %3 überein"
"Grand Total","Gesamtbetrag"
"Generate Webhooks","Generate Webhooks"
"Please remove the previous connection and reauthorize using the Stripe system","Bitte entfernen Sie die vorherige Verbindung und autorisieren Sie sich erneut über das Stripe-System"
"Order captured successfully, invoices will be generated automatically","Bestellung erfolgreich erfasst, Rechnungen werden automatisch erstellt"
"There was an error capturing the transaction","Es ist ein Fehler bei der Erfassung der Transaktion aufgetreten"
"The order has already been captured successfully","Der Auftrag ist bereits erfolgreich erfasst worden"
"Manage Stripe Custom Account","Stripe Account verwalten"
"You have successfully updated connected account on stripe","Sie haben Ihr verbundenes Konto auf Stripe erfolgreich aktualisiert"
"There some error, not able connect you with stripe, please contact admin","Ein Fehler ist aufgetreten, Verbindung zu Stripe nicht möglich. Bitte Locorum kontaktieren."
"More Information Required, Please Connect To Stripe","Mehr Informationen benötigt, bitte mit Stripe verbinden"
"You are successfully connected to stripe","Sie sind erfolgreich mit Stripe verbunden"
"WebHooks Generated Successfully","WebHooks Generated Successfully"
"Invalid Request Check Credentials","Ungültige Anfrage Anmeldeinformationen prüfen"
"WebHooks Already Generated","WebHooks Already Generated"
"Cards successfully deleted","Karte erfolgreich entfernt"
"Not able to delete the cards","Die Karten können nicht gelöscht werden"
"Saved Cards","Gespeicherte Karten"
message,mitteilung
"Order cancelled because stripe payment failed","Bestellung storniert, Stripe Bezahlung fehlgeschlagen"
"There was an error capturing the transaction, order has been cancelled","Es ist ein Fehler bei der Erfassung der Transaktion aufgetreten, die Bestellung wurde storniert"
"Stripe credentials saved successfully.","Stripe Anmeldeinformationen erfolgreich gespeichert."
"Something went wrong!","Etwas ist schiefgelaufen!"
"There was an error capturing the transaction: %1","Es ist ein Fehler bei der Erfassung der Transaktion aufgetreten: %1"
"There was an error capturing the transaction: Please contact admin","Es ist ein Fehler bei der Erfassung der Transaktion aufgetreten: Bitte Locorum kontaktieren"
"Something went wrong while saving the file(s).","Beim Speichern der Datei(en) ist ein Fehler aufgetreten."
"File can not be saved to the destination folder.","Die Datei kann nicht im Zielordner gespeichert werden."
"Maximum shipping amount allowed to refund is: %1","Der maximal zu erstattende Versandbetrag beträgt: %1"
"Notified customer about invoice #%1.","Benachrichtigung des Kunden über die Rechnung #%1."
"The authorized amount is %1.","Der genehmigte Betrag beträgt %1."
"There is nothing to refund.","Es gibt nichts zu erstatten."
"payment refund error, please contact admin","Fehler bei der Zahlungserstattung, Bitte Locorum kontaktieren"
"Refund amount by seller($' . . ') is more than seller commission($' . . ')","Erstattungsbetrag durch den Verkäufer($' . . ') ist mehr als die Verkäuferprovision($' . . ')"
"Please Select","Bitte wählen"
Individual,Einzelperson
Company,Firma
"A/C, Refrigeration Repair","A/C, Refrigeration Repair"
"Accounting/Bookkeeping Services","Accounting/Bookkeeping Services"
"Advertising Services","Advertising Services"
"Agricultural Cooperative","Agricultural Cooperative"
"Airlines, Air Carriers","Airlines, Air Carriers"
"Airports, Flying Fields","Airports, Flying Fields"
"Ambulance Services","Ambulance Services"
"Amusement Parks/Carnivals","Amusement Parks/Carnivals"
"Antique Reproductions","Antique Reproductions"
"Antique Shops","Antique Shops"
Aquariums,Aquariums
"Architectural/Surveying Services","Architectural/Surveying Services"
"Art Dealers and Galleries","Art Dealers and Galleries"
"Artists Supply and Craft Shops","Artists Supply and Craft Shops"
"Auto Body Repair Shops","Auto Body Repair Shops"
"Auto Paint Shops","Auto Paint Shops"
"Auto Service Shops","Auto Service Shops"
"Auto and Home Supply Stores","Auto and Home Supply Stores"
"Automated Cash Disburse","Automated Cash Disburse"
"Automated Fuel Dispensers","Automated Fuel Dispensers"
"Automobile Associations","Automobile Associations"
"Automotive Parts and Accessories Stores","Automotive Parts and Accessories Stores"
"Automotive Tire Stores","Automotive Tire Stores"
"Bail and Bond Payments","Bail and Bond Payments"
Bakeries,Bakeries
"Bands, Orchestras","Bands, Orchestras"
"Barber and Beauty Shops","Barber and Beauty Shops"
"Betting/Casino Gambling","Betting/Casino Gambling"
"Bicycle Shops","Bicycle Shops"
"Billiard/Pool Establishments","Billiard/Pool Establishments"
"Boat Dealers","Boat Dealers"
"Boat Rentals and Leases","Boat Rentals and Leases"
"Book Stores","Book Stores"
"Books, Periodicals, and Newspapers","Books, Periodicals, and Newspapers"
"Bowling Alleys","Bowling Alleys"
"Bus Lines","Bus Lines"
"Business/Secretarial Schools","Business/Secretarial Schools"
"Buying/Shopping Services","Buying/Shopping Services"
"Cable, Satellite, and Other Pay Television and Radio","Cable, Satellite, and Other Pay Television and Radio"
"Camera and Photographic Supply Stores","Camera and Photographic Supply Stores"
"Candy, Nut, and Confectionery Stores","Candy, Nut, and Confectionery Stores"
"Car Rental Agencies","Car Rental Agencies"
"Car Washes","Car Washes"
"Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing","Car and Truck Dealers (New & Used) Sales, Service, Repairs Parts and Leasing"
"Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing","Car and Truck Dealers (Used Only) Sales, Service, Repairs Parts and Leasing"
"Carpentry Services","Carpentry Services"
"Carpet/Upholstery Cleaning","Carpet/Upholstery Cleaning"
Caterers,Caterers
"Charitable and Social Service Organizations - Fundraising","Charitable and Social Service Organizations - Fundraising"
"Chemicals and Allied Products (Not Elsewhere Classified)","Chemicals and Allied Products (Not Elsewhere Classified)"
"Chidrens and Infants Wear Stores","Chidrens and Infants Wear Stores"
"Child Care Services","Child Care Services"
"Chiropodists, Podiatrists","Chiropodists, Podiatrists"
Chiropractors,Chiropractors
"Cigar Stores and Stands","Cigar Stores and Stands"
"Civic, Social, Fraternal Associations","Civic, Social, Fraternal Associations"
"Cleaning and Maintenance","Cleaning and Maintenance"
"Clothing Rental","Clothing Rental"
"Colleges, Universities","Colleges, Universities"
"Commercial Equipment (Not Elsewhere Classified)","Commercial Equipment (Not Elsewhere Classified)"
"Commercial Footwear","Commercial Footwear"
"Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics"
"Commuter Transport, Ferries","Commuter Transport, Ferries"
"Computer Network Services","Computer Network Services"
"Computer Programming","Computer Programming"
"Computer Repair","Computer Repair"
"Computer Software Stores","Computer Software Stores"
"Computers, Peripherals, and Software","Computers, Peripherals, and Software"
"Concrete Work Services","Concrete Work Services"
"Construction Materials (Not Elsewhere Classified)","Construction Materials (Not Elsewhere Classified)"
"Consulting, Public Relations","Consulting, Public Relations"
"Correspondence Schools","Correspondence Schools"
"Cosmetic Stores","Cosmetic Stores"
"Counseling Services","Counseling Services"
"Country Clubs","Country Clubs"
"Courier Services","Courier Services"
"Court Costs, Including Alimony and Child Support - Courts of Law","Court Costs, Including Alimony and Child Support - Courts of Law"
"Credit Reporting Agencies","Credit Reporting Agencies"
"Cruise Lines","Cruise Lines"
"Dairy Products Stores","Dairy Products Stores"
"Dance Hall, Studios, Schools","Dance Hall, Studios, Schools"
"Dating/Escort Services","Dating/Escort Services"
"Dentists, Orthodontists","Dentists, Orthodontists"
"Department Stores","Department Stores"
"Detective Agencies","Detective Agencies"
"Digital Goods – Applications (Excludes Games)","Digital Goods – Applications (Excludes Games)"
"Direct Marketing - Catalog Merchant","Direct Marketing - Catalog Merchant"
"Direct Marketing - Combination Catalog and Retail Merchant","Direct Marketing - Combination Catalog and Retail Merchant"
"Direct Marketing - Inbound Telemarketing","Direct Marketing - Inbound Telemarketing"
"Direct Marketing - Insurance Services","Direct Marketing - Insurance Services"
"Direct Marketing - Other","Direct Marketing - Other"
"Direct Marketing - Outbound Telemarketing","Direct Marketing - Outbound Telemarketing"
"Direct Marketing - Subscription","Direct Marketing - Subscription"
"Direct Marketing - Travel","Direct Marketing - Travel"
"Discount Stores","Discount Stores"
Doctors,Doctors
"Door-To-Door Sales","Door-To-Door Sales"
"Drapery, Window Covering, and Upholstery Stores","Drapery, Window Covering, and Upholstery Stores"
"Drinking Places","Drinking Places"
"Drug Stores and Pharmacies","Drug Stores and Pharmacies"
"Drugs, Drug Proprietaries, and Druggist Sundries","Drugs, Drug Proprietaries, and Druggist Sundries"
"Dry Cleaners","Dry Cleaners"
"Durable Goods (Not Elsewhere Classified)","Durable Goods (Not Elsewhere Classified)"
"Duty Free Stores","Duty Free Stores"
"Eating Places, Restaurants","Eating Places, Restaurants"
"Educational Services","Educational Services"
"Electric Razor Stores","Electric Razor Stores"
"Electrical Parts and Equipment","Electrical Parts and Equipment"
"Electrical Services","Electrical Services"
"Electronics Repair Shops","Electronics Repair Shops"
"Electronics Stores","Electronics Stores"
"Elementary, Secondary Schools","Elementary, Secondary Schools"
"Employment/Temp Agencies","Employment/Temp Agencies"
"Equipment Rental","Equipment Rental"
"Exterminating Services","Exterminating Services"
"Family Clothing Stores","Family Clothing Stores"
"Fast Food Restaurants","Fast Food Restaurants"
"Financial Institutions","Financial Institutions"
"Fines - Government Administrative Entities","Fines - Government Administrative Entities"
"Fireplace, Fireplace Screens, and Accessories Stores","Fireplace, Fireplace Screens, and Accessories Stores"
"Floor Covering Stores","Floor Covering Stores"
Florists,Florists
"Florists Supplies, Nursery Stock, and Flowers","Florists Supplies, Nursery Stock, and Flowers"
"Freezer and Locker Meat Provisioners","Freezer and Locker Meat Provisioners"
"Fuel Dealers (Non Automotive)","Fuel Dealers (Non Automotive)"
"Funeral Services, Crematories","Funeral Services, Crematories"
"Furniture Repair, Refinishing","Furniture Repair, Refinishing"
"Furniture, Home Furnishings, and Equipment Stores, Except Appliances","Furniture, Home Furnishings, and Equipment Stores, Except Appliances"
"Furriers and Fur Shops","Furriers and Fur Shops"
"General Services","General Services"
"Gift, Card, Novelty, and Souvenir Shops","Gift, Card, Novelty, and Souvenir Shops"
"Glass, Paint, and Wallpaper Stores","Glass, Paint, and Wallpaper Stores"
"Glassware, Crystal Stores","Glassware, Crystal Stores"
"Golf Courses - Public","Golf Courses - Public"
"Government Services (Not Elsewhere Classified)","Government Services (Not Elsewhere Classified)"
"Grocery Stores, Supermarkets","Grocery Stores, Supermarkets"
"Hardware Stores","Hardware Stores"
"Hardware, Equipment, and Supplies","Hardware, Equipment, and Supplies"
"Health and Beauty Spas","Health and Beauty Spas"
"Hearing Aids Sales and Supplies","Hearing Aids Sales and Supplies"
"Heating, Plumbing, A/C","Heating, Plumbing, A/C"
"Hobby, Toy, and Game Shops","Hobby, Toy, and Game Shops"
"Home Supply Warehouse Stores","Home Supply Warehouse Stores"
Hospitals,Hospitals
"Hotels, Motels, and Resorts","Hotels, Motels, and Resorts"
"Household Appliance Stores","Household Appliance Stores"
"Industrial Supplies (Not Elsewhere Classified)","Industrial Supplies (Not Elsewhere Classified)"
"Information Retrieval Services","Information Retrieval Services"
"Insurance - Default","Insurance - Default"
"Insurance Underwriting, Premiums","Insurance Underwriting, Premiums"
"Intra-Company Purchases","Intra-Company Purchases"
"Jewelry Stores, Watches, Clocks, and Silverware Stores","Jewelry Stores, Watches, Clocks, and Silverware Stores"
"Landscaping Services","Landscaping Services"
Laundries,Laundries
"Laundry, Cleaning Services","Laundry, Cleaning Services"
"Legal Services, Attorneys","Legal Services, Attorneys"
"Luggage and Leather Goods Stores","Luggage and Leather Goods Stores"
"Lumber, Building Materials Stores","Lumber, Building Materials Stores"
"Manual Cash Disburse","Manual Cash Disburse"
"Marinas, Service and Supplies","Marinas, Service and Supplies"
"Masonry, Stonework, and Plaster","Masonry, Stonework, and Plaster"
"Massage Parlors","Massage Parlors"
"Medical Services","Medical Services"
"Medical and Dental Labs","Medical and Dental Labs"
"Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies","Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies"
"Membership Organizations","Membership Organizations"
"Mens and Boys Clothing and Accessories Stores","Mens and Boys Clothing and Accessories Stores"
"Mens, Womens Clothing Stores","Mens, Womens Clothing Stores"
"Metal Service Centers","Metal Service Centers"
"Miscellaneous Apparel and Accessory Shops","Miscellaneous Apparel and Accessory Shops"
"Miscellaneous Auto Dealers","Miscellaneous Auto Dealers"
"Miscellaneous Business Services","Miscellaneous Business Services"
"Miscellaneous Food Stores - Convenience Stores and Specialty Markets","Miscellaneous Food Stores - Convenience Stores and Specialty Markets"
"Miscellaneous General Merchandise","Miscellaneous General Merchandise"
"Miscellaneous General Services","Miscellaneous General Services"
"Miscellaneous Home Furnishing Specialty Stores","Miscellaneous Home Furnishing Specialty Stores"
"Miscellaneous Publishing and Printing","Miscellaneous Publishing and Printing"
"Miscellaneous Recreation Services","Miscellaneous Recreation Services"
"Miscellaneous Repair Shops","Miscellaneous Repair Shops"
"Miscellaneous Specialty Retail","Miscellaneous Specialty Retail"
"Mobile Home Dealers","Mobile Home Dealers"
"Motion Picture Theaters","Motion Picture Theaters"
"Motor Freight Carriers and Trucking","Motor Freight Carriers and Trucking"
"Motor Homes Dealers","Motor Homes Dealers"
"Motor Vehicle Supplies and New Parts","Motor Vehicle Supplies and New Parts"
"Motorcycle Shops and Dealers","Motorcycle Shops and Dealers"
"Motorcycle Shops, Dealers","Motorcycle Shops, Dealers"
"Music Stores-Musical Instruments, Pianos, and Sheet Music","Music Stores-Musical Instruments, Pianos, and Sheet Music"
"News Dealers and Newsstands","News Dealers and Newsstands"
"Non-FI, Money Orders","Non-FI, Money Orders"
"Non-FI, Stored Value Card Purchase/Load","Non-FI, Stored Value Card Purchase/Load"
"Nondurable Goods (Not Elsewhere Classified)","Nondurable Goods (Not Elsewhere Classified)"
"Nurseries, Lawn and Garden Supply Stores","Nurseries, Lawn and Garden Supply Stores"
"Nursing/Personal Care","Nursing/Personal Care"
"Office and Commercial Furniture","Office and Commercial Furniture"
"Opticians, Eyeglasses","Opticians, Eyeglasses"
"Optometrists, Ophthalmologist","Optometrists, Ophthalmologist"
"Orthopedic Goods - Prosthetic Devices","Orthopedic Goods - Prosthetic Devices"
Osteopaths,Osteopaths
"Package Stores-Beer, Wine, and Liquor","Package Stores-Beer, Wine, and Liquor"
"Paints, Varnishes, and Supplies","Paints, Varnishes, and Supplies"
"Parking Lots, Garages","Parking Lots, Garages"
"Passenger Railways","Passenger Railways"
"Pawn Shops","Pawn Shops"
"Pet Shops, Pet Food, and Supplies","Pet Shops, Pet Food, and Supplies"
"Petroleum and Petroleum Products","Petroleum and Petroleum Products"
"Photo Developing","Photo Developing"
"Photographic Studios","Photographic Studios"
"Photographic, Photocopy, Microfilm Equipment, and Supplies","Photographic, Photocopy, Microfilm Equipment, and Supplies"
"Picture/Video Production","Picture/Video Production"
"Piece Goods, Notions, and Other Dry Goods","Piece Goods, Notions, and Other Dry Goods"
"Plumbing, Heating Equipment, and Supplies","Plumbing, Heating Equipment, and Supplies"
"Political Organizations","Political Organizations"
"Postal Services - Government Only","Postal Services - Government Only"
"Precious Stones and Metals, Watches and Jewelry","Precious Stones and Metals, Watches and Jewelry"
"Professional Services","Professional Services"
"Public Warehousing and Storage","Public Warehousing and Storage"
"Quick Copy, Repro, and Blueprint","Quick Copy, Repro, and Blueprint"
Railroads,Railroads
"Real Estate Agents and Managers - Rentals","Real Estate Agents and Managers - Rentals"
"Record Stores","Record Stores"
"Recreational Vehicle Rentals","Recreational Vehicle Rentals"
"Religious Goods Stores","Religious Goods Stores"
"Religious Organizations","Religious Organizations"
"Roofing/Siding, Sheet Metal","Roofing/Siding, Sheet Metal"
"Secretarial Support Services","Secretarial Support Services"
"Security Brokers/Dealers","Security Brokers/Dealers"
"Service Stations","Service Stations"
"Sewing, Needlework, Fabric, and Piece Goods Stores","Sewing, Needlework, Fabric, and Piece Goods Stores"
"Shoe Repair/Hat Cleaning","Shoe Repair/Hat Cleaning"
"Shoe Stores","Shoe Stores"
"Small Appliance Repair","Small Appliance Repair"
"Snowmobile Dealers","Snowmobile Dealers"
"Special Trade Services","Special Trade Services"
"Specialty Cleaning","Specialty Cleaning"
"Sporting Goods Stores","Sporting Goods Stores"
"Sporting/Recreation Camps","Sporting/Recreation Camps"
"Sports Clubs/Fields","Sports Clubs/Fields"
"Sports and Riding Apparel Stores","Sports and Riding Apparel Stores"
"Stamp and Coin Stores","Stamp and Coin Stores"
"Stationary, Office Supplies, Printing and Writing Paper","Stationary, Office Supplies, Printing and Writing Paper"
"Stationery Stores, Office, and School Supply Stores","Stationery Stores, Office, and School Supply Stores"
"Swimming Pools Sales","Swimming Pools Sales"
"TUI Travel - Germany","TUI Travel - Germany"
"Tailors, Alterations","Tailors, Alterations"
"Tax Payments - Government Agencies","Tax Payments - Government Agencies"
"Tax Preparation Services","Tax Preparation Services"
Taxicabs/Limousines,Taxicabs/Limousines
"Telecommunication Equipment and Telephone Sales","Telecommunication Equipment and Telephone Sales"
"Telecommunication Services","Telecommunication Services"
"Telegraph Services","Telegraph Services"
"Tent and Awning Shops","Tent and Awning Shops"
"Testing Laboratories","Testing Laboratories"
"Theatrical Ticket Agencies","Theatrical Ticket Agencies"
Timeshares,Timeshares
"Tire Retreading and Repair","Tire Retreading and Repair"
"Tolls/Bridge Fees","Tolls/Bridge Fees"
"Tourist Attractions and Exhibits","Tourist Attractions and Exhibits"
"Towing Services","Towing Services"
"Trailer Parks, Campgrounds","Trailer Parks, Campgrounds"
"Transportation Services (Not Elsewhere Classified)","Transportation Services (Not Elsewhere Classified)"
"Direct Charge","Direct Charge"
"Separate Charge and Transfer","Separate Charge and Transfer"
Sandbox,Sandbox
Production,Production
"Stripe Connect with Standard Accounts","Stripe Connect with Standard Accounts"
"Stripe Connect with Custom Accounts","Stripe Connect with Custom Accounts"
Authorize,Authorize
"Authorize and Capture","Authorize and Capture"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"You are not allowed to checkout with multi seller products.","Sie dürfen nicht mit Produkten mehrerer Verkäufer zur Kasse gehen."
"Are you sure you want to do this?","Sind Sie sicher dass Sie das tun wollen?"
"Capture Order","Auftrag erfassen"
"Could not add Product to Cart.","Produkt konnte nicht in den Warenkorb gelegt werden."
"Stripe Connect","Stripe Connect"
"Manage Stripe Connect Custom Account","Manage Stripe Connect Custom Account"
"Create Stripe Account","Stripe Account erstellen"
Country,Land
Email,Email
"Business Type","Business Type"
"Bank Account Country","Bank Account Country"
"Bank Account Currency","Bank Account Currency"
"Bank Account Holder Type","Bank Account Holder Type"
"Bank Account Holder Name","Bank Account Holder Name"
"Bank Account Routing Number","Bank Account Routing Number"
"The routing number, or other country-appropriate institution number for the bank account","The routing number, or other country-appropriate institution number for the bank account"
"Bank Account Number","Bank Account Number"
"The account number for the bank account, in string form. Must be a checking account.","The account number for the bank account, in string form. Must be a checking account."
"Not Connected","Nicht verbunden"
"Connect to Stripe via the button below","Verbinden Sie sich mit Stripe über die Schaltfläche unten"
"More Information Required","Weitere Informationen erforderlich"
"Complete your details via the button below","Vervollständigen Sie Ihre Angaben über die Schaltfläche unten"
Connected,Verbunden
"Success! You are connected to receive payments","Erfolgreich! Sie sind verbunden und können nun Zahlungen erhalten"
Status,Status
"CONNECT TO STRIPE","MIT STRIPE VERBINDEN"
"Adjustment Refund","Anpassung Erstattung"
"Adjustment Fee","Anpassung Gebühr"
"Please enter a positive number in this field.","Bitte geben Sie eine positive Zahl in dieses Feld ein."
"Your Saved Cards","Ihre gespeicherten Karten"
Select,Wählen
Brand,Marke
Card,Karte
"Exp. Month","Ablauf-Monat"
"Exp. Year","Ablauf-Jahr"
Delete,Löschen
"No cards available","Keine Karten verfügbar"
Back,Zurück
"Connect To Stripe","Mit Stripe verbinden"
"Stripe Transactions","Stripe Transaktionen"
"Items Ordered","Bestellte Artikel"
"Product Name","Produktname"
Price,Preis
Qty,Menge
"Return to Stock","Zum Lagerbestand zurücktun"
"Qty to Refund","Zu erstattende Menge"
Subtotal,Zwischensumme
"COD Charges","Nachnahmegebühren"
"Tax Amount","Steuerbertrag"
"Discount Amount","Rabatt-Betrag"
"Row Total","Zeile Gesamt"
"Excl. Tax","Exkl. Steuer"
Ordered,Bestellt
Invoiced,Fakturiert
Shipped,Geliefert
Canceled,Storniert
Refunded,Rückerstattet
"Tax Total","Steuerbetrag Total"
"Discount Total","Rabatt Total"
"Items to Refund","Zu erstattende Artikel"
"Paid Amount","Bezahlter Betrag"
"Refund Amount","Erstattungsbetrag"
"Shipping Amount","Versandbetrag"
"Shipping Refund","Versandbetrag Erstattung"
"Order Grand Total","Bestellung Gesamtbetrag"
"Credit Memo Comments","Kommentare zur Gutschrift"
"Refund Totals","Erstattungssummen"
Discount,Rabatt
"Total Tax","Total Steuern"
"Refund Shipping","Versandkosten zurückerstatten"
"You are not allowed to perform this action","Sie sind nicht berechtigt, diese Aktion durchzuführen"
"Append Comments","Kommentare hinzufügen"
"Visible on Frontend","Visible on Frontend"
"Email Copy of Credit Memo","E-Mail-Kopie der Gutschrift"
"Refund Offline","Rückerstattung Offline"
"Refund Online","Rückerstattung Online"
Refund,Rückerstattung
"Manage Order #%1","Bestellung verwalten #%1"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Bestelldatum:</span> %1"
Print,Drucken
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Cancel Order","Bestellung Stornieren"
"Are you sure you want to send order email to customer?","Sind Sie sicher, dass Sie eine Bestell-E-Mail an den Kunden senden möchten?"
"Send Email To Customer","E-Mail and Kunden senden"
"Send Email","E-Mail senden"
"Are you sure you want to capture the order?","Sind Sie sicher, dass Sie die Bestellung erfassen wollen?"
Capture,Erfassen
"Are you sure you want to create invoice?","Sind Sie sicher, dass Sie eine Rechnung erstellen möchten?"
Invoice,Rechnung
"Pay Admin for his commission for this order","Bezahlen Sie Locorum für seine Kommission für diesen Auftrag"
"If you pay admin commission then you can not do refund for buyer in future.","Wenn Sie eine Kommission zahlen, können Sie in Zukunft keine Rückerstattung für den Käufer vornehmen."
"Are you sure you want to pay admin for his commission?","Sind Sie sicher, dass Sie Locorum die Kommission zahlen wollen?"
"Pay Admin Commission","Kommission bezahlen"
"Create Credit Memo","Gutschrift erstellen"
"Credit Memo","Gutschrift"
"Create Shipment for Order","Versand für diese Bestellung erstellen"
Ship,Versenden
"Buyer Information","Information des Käufers"
"Customer Name","Name des Kunden"
"Order Information","Bestellinformationen"
"Shipping Address","Versandadresse"
"Shipping Method","Versandmethode"
"No shipping information available","Keine Versandinformationen verfügbar"
Carrier,Anbieter
"Tracking Number","Tracking Nummer"
"Billing Address","Rechnungsadresse"
"Payment Method","Zahlungsmethode"
"Back To My Orders","Zurück zu meinen Bestellungen"
"Are you sure you want to create shipment?","Sind Sie sicher, dass Sie eine Sendung erstellen wollen?"
"Remove Previous Details & Reconnect","Vorherige Details entfernen & neu verbinden"
"Application access may have been revoked. ","Der Zugriff auf die Anwendung wurde möglicherweise widerrufen. "
"Please remove the previous connection and reauthorize using the Stripe system.","Bitte entfernen Sie die vorherige Verbindung und autorisieren Sie sich erneut über das Stripe-System."
"Remove Previous Details","Vorherige Details entfernen"
"Update Account Information","Kontoinformationen aktualisieren"
"Save your bank account information using stripe connect if not added. ","Speichern Sie Ihre Bankinformationen mit Stripe, falls diese nicht schon existieren. "
"If routing number or any other information changes please reauthorize using the Stripe system","Wenn die Routing-Nummer oder andere Angaben nicht korrekt sind, autorisieren Sie sich erneut über das Stripe-System."
"Invalid credentials. Please contact admin to correct them","Ungültige Angaben. Bitte Locorum kontaktieren für Korrektur"
"Connect to Stripe","Mit Stripe verbinden"
"Please Contact admin for any discussion on Stripe Accounts","Bitte Locorum kontaktieren für Fragen zu Stripe Accounts"
"Transfer Overview","Transfer Übersicht"
"Date paid","Zahlungsdatum"
Amount,Menge
ID,ID
"Transaction ID","Transaktions ID"
"Transfer group","Transfer-Gruppe"
"No Transactions available","Keine Transaktionen verfügbar"
"Delete image","Bild löschen"
"I would like to inform you that a order has been Canceled.","Ich möchte Sie darüber informieren, dass eine Bestellung storniert wurde."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Sie können den Status Ihrer Bestellung prüfen, indem Sie sich <a href=""%account_url"">in Ihren Account einloggen</a>."
"Your Order <span class=""no-link"">#%increment_id</span>","Ihre Bestellung <span class=""no-link"">#%increment_id</span>"
"Your Order has been canceled. Because,<span class=""no-link"">%message</span>","Ihre Bestellung wurde storniert. Grund: <span class=""no-link"">%message</span>"
" Please select from below cards to proceed "," Bitte wählen Sie eine der folgenden Karten aus, um fortzufahren "
" Select Card Expiration Details "," Wählen Sie die Ablaufdaten der Karte "
"Enter your card details:","Bitte Kartendaten erfassen:"
"Your card details are protected using PCI DSS v3.2 security standards.","Ihre Kartendaten werden durch die PCI DSS v3.2 Sicherheitsstandards geschützt."
"Save card for future payments.","Karte für zukünftige Zahlungen speichern."
"Place Order","Bestellung aufgeben"
Attention,Achtung
"You have not selected any card.","Sie haben keine Karte gewählt."
Saving,Speichern
"Please enter card details properly.","Bitte geben Sie die Kartendaten korrekt ein."
"Not able to process card details , please try again","Die Kartendaten können nicht verarbeitet werden, bitte versuchen Sie es erneut."
"something went wrong","Etwas ist schiefgelaufen"
"Marketplace Stripe Payment","Locorum Stripe Bezahlung"
Enabled,Aktiviert
Title,Titel
Debug,Debug
"Type of Integration","Type of Integration"
"Choose the relevent Intergration at the time of adding credentials as changing the type will make the seller loose there accounts on this platform and they need to re-register with the Connect account again.","Choose the relevent Intergration at the time of adding credentials as changing the type will make the seller loose there accounts on this platform and they need to re-register with the Connect account again."
"Payment Action","Payment Action"
"Select the event to capture payment","Select the event to capture payment"
"Charge Type","Charge Type"
"Direct Charge - Single Seller Checkout, Charge will be generated on Seller end.
                    Separate Charge and Transfer - Multiple Seller Checkout, Chrage will be generated on Admin end and then it will be transfered to respective Sellers","Direct Charge - Single Seller Checkout, Charge will be generated on Seller end.
                    Separate Charge and Transfer - Multiple Seller Checkout, Chrage will be generated on Admin end and then it will be transfered to respective Sellers"
"Vault Enabled","Vault Enabled"
"Allow Seller To Manage Custom Accounts","Allow Seller To Manage Custom Accounts"
"Api Secret Key","Api Secret Key"
"Api Publishable Key","Api Publishable Key"
"Client ID","Client ID"
"Stripe Account ID","Stripe Account ID"
"Set Name Display on Form","Set Name Display on Form"
"Set Image","Set Image"
"Upload any Image that you want to show on stripe payment form at frontend","Upload any Image that you want to show on stripe payment form at frontend"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Minimum Order Total","Minimum Order Total"
"$0.50 is the minimum amount allowed by Stripe","$0.50 is the minimum amount allowed by Stripe"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Manage Stripe Accounts","Manage Stripe Accounts"
"Stripe Account Information","Stripe Account Informationen"
"Stripe Account Details","Stripe Account Details"
"User Id","User Id"
"Account Id","Account Id"
"Bank Account Details","Bank Account Details"
"Bank Account Holder Name:","Bank Account Holder Name:"
"Bank Account Routing Number:","Bank Account Routing Number:"
"Bank Account Number:","Bank Account Number:"
"Stripe Saved Cards","Stripe gespeicherte Karten"
"New Credit Memo","Neue Gutschrift"
"Saved Stripe Cards","Gespeicherte Stripe Karten"
Transactions,Transaktionen
